kind,index,time_s,time_hms,peak_x_local_floor,interval_from_prev_s
spike,1,77.57,0:01:17,152.0,
spike,2,89.71,0:01:29,10.9,12.14
spike,3,114.47,0:01:54,170.8,24.76
spike,4,122.30,0:02:02,149.7,7.83
spike,5,149.12,0:02:29,438.3,26.82
spike,6,153.63,0:02:33,9.6,4.51
spike,7,155.56,0:02:35,9.3,1.93
spike,8,166.95,0:02:46,108.0,11.39
spike,9,198.64,0:03:18,181.2,31.69
spike,10,202.87,0:03:22,169.0,4.23
spike,11,209.80,0:03:29,119.7,6.93
spike,12,252.35,0:04:12,158.7,42.55
spike,13,254.54,0:04:14,8.0,2.19
spike,14,263.33,0:04:23,386.0,8.79
spike,15,292.04,0:04:52,161.4,28.71
spike,16,293.67,0:04:53,164.6,1.63
spike,17,316.83,0:05:16,9.3,23.16
spike,18,336.03,0:05:36,145.0,19.20
spike,19,367.36,0:06:07,189.1,31.33
spike,20,380.34,0:06:20,407.4,12.98
spike,21,424.34,0:07:04,184.0,44.00
spike,22,463.41,0:07:43,165.2,39.07
spike,23,469.04,0:07:49,180.5,5.63
spike,24,477.73,0:07:57,9.5,8.69
spike,25,492.81,0:08:12,446.0,15.08
spike,26,513.66,0:08:33,152.1,20.85
spike,27,535.98,0:08:55,176.2,22.32
spike,28,550.66,0:09:10,158.8,14.68
spike,29,557.73,0:09:17,190.3,7.07
spike,30,602.27,0:10:02,164.8,44.54
spike,31,606.17,0:10:06,370.8,3.90
spike,32,629.56,0:10:29,15.9,23.39
spike,33,638.92,0:10:38,171.9,9.36
spike,34,644.24,0:10:44,144.4,5.32
spike,35,687.29,0:11:27,180.3,43.05
spike,36,702.87,0:11:42,205.5,15.58
spike,37,714.08,0:11:54,12.5,11.21

kind,index,start_s,end_s,spikes,rate_per_min,median_interval_s,verdict
segment,1,60,360,18,3.600,11.39,불규칙
segment,2,360,660,16,3.200,14.68,불규칙
segment,3,660,718,3,3.126,13.40,표본 부족
