# 받은 물의 양 기록. 시각은 로컬(YYYY-MM-DD HH:MM), 무게는 g.
# pipe: 난방배관 물 차단은 2026-08-29 16:26.  ac: 에어컨은 2026-09-08 00:00 부터 off.
start,end,hours,grams,g_per_hour,temp_c,humidity_pct,rain,pipe,ac,note
2026-08-27 00:10,2026-08-28 00:50,24.67,1257,51.0,,,no,on,on,개입 전 · 비 없음
2026-08-30 03:30,2026-08-30 15:30,12.00,502,41.8,,,no,off,on,개입 후 · 비 전
2026-08-30 15:30,2026-08-31 00:00,8.50,342,40.2,,,no,off,on,개입 후 · 비 전
2026-08-31 00:00,2026-09-01 00:00,24.00,1266,52.8,,,yes,off,on,31일 오전부터 비
2026-09-01 00:00,2026-09-01 08:45,8.75,554,63.3,,,after,off,on,비 직후 · 최고치
2026-09-01 08:45,2026-09-02 00:00,15.25,743,48.7,,,after,off,on,비 그친 뒤 감소 구간
2026-09-02 00:00,2026-09-02 09:00,9.00,294,32.7,26.0,78.6,no,off,on,
2026-09-02 09:00,2026-09-03 00:00,15.00,522,34.8,26.5,77.9,no,off,on,
2026-09-03 00:00,2026-09-03 09:00,9.00,242,26.9,25.6,73.6,no,off,on,
2026-09-03 09:00,2026-09-04 00:00,15.00,262,17.5,25.9,59.3,no,off,on,급감
2026-09-04 00:00,2026-09-04 09:00,9.00,93,10.3,25.5,59.0,no,off,on,
2026-09-04 09:00,2026-09-05 00:00,15.00,166,11.1,25.3,54.2,no,off,on,
2026-09-05 00:00,2026-09-05 09:00,9.00,52,5.8,25.0,53.5,no,off,on,
2026-09-05 09:00,2026-09-06 00:00,15.00,29,1.9,25.0,57.4,no,off,on,
2026-09-06 00:00,2026-09-06 09:00,9.00,22,2.4,25.1,61.4,no,off,on,
2026-09-06 09:00,2026-09-07 00:00,15.00,34,2.3,25.0,52.6,no,off,on,
2026-09-07 00:00,2026-09-07 09:00,9.00,94,10.4,24.8,53.8,?,off,on,전날 대비 급증
2026-09-07 09:00,2026-09-08 00:00,15.00,126,8.4,25.8,63.0,?,off,on,
2026-09-08 00:00,2026-09-08 09:00,9.00,94,10.4,24.9,49.3,no,off,off,
2026-09-08 09:00,2026-09-09 00:00,15.00,102,6.8,25.4,55.7,no,off,off,
2026-09-09 00:00,2026-09-09 09:00,9.00,16,1.8,24.8,45.1,no,off,off,
2026-09-09 09:00,2026-09-10 00:00,15.00,0,0.0,25.7,43.1,no,off,off,완전 정지
